agent_id,step,metric,value
34,0,emotion,0.6160491612726647
34,1,emotion,0.6519680516885901
34,2,emotion,0.6926303032688973
34,3,emotion,0.7264687566410525
34,4,emotion,0.7123411125909728
34,5,emotion,0.7597464652765648
34,6,emotion,0.7848064128609573
34,7,emotion,0.7875294005688876
34,8,emotion,0.8031600324430614
34,9,emotion,0.8296652954706034
34,10,emotion,0.8376348224058677
34,11,emotion,0.8563013507587787
34,12,emotion,0.8662324879931179
34,13,emotion,0.8040188160793468
34,14,emotion,0.8286408214517471
34,15,emotion,0.8537613514252309
34,16,emotion,0.8721594067042413
34,17,emotion,0.8923080409579319
34,18,emotion,0.9057337094259681
34,19,emotion,0.9036505864524159
34,20,emotion,0.9000530768145624
34,21,emotion,0.8989355752721546
34,22,emotion,0.8801977332753393
34,23,emotion,0.8754880077384064
34,24,emotion,0.799367791964248
34,25,emotion,0.8318110472273079
34,26,emotion,0.8566222511439574
34,27,emotion,0.8753414397854486
34,28,emotion,0.8842577160225252
34,29,emotion,0.868695947028766
34,30,emotion,0.8689528498109812
34,31,emotion,0.8839425702119043
34,32,emotion,0.869810312098545
34,33,emotion,0.8229343570480391
34,34,emotion,0.8318442085476007
34,35,emotion,0.8032235171344692
34,36,emotion,0.8177945161626267
34,37,emotion,0.7881958286184731
34,38,emotion,0.7728512958139803
34,39,emotion,0.790856754668634
34,40,emotion,0.799289778783267
34,41,emotion,0.8232813501365374
34,42,emotion,0.7990628995365292
34,43,emotion,0.8079549027303977
34,44,emotion,0.8108588805254698
34,45,emotion,0.8325696891224863
34,46,emotion,0.8494449883398887
34,47,emotion,0.8305824279946519
34,48,emotion,0.8374479318429157
34,49,emotion,0.7952828202354539
34,50,emotion,0.8032247884774699
34,51,emotion,0.7843767746431384
34,52,emotion,0.7989632811963564
34,53,emotion,0.7778395182284181
34,54,emotion,0.7822149610332231
34,55,emotion,0.7416046974491889
34,56,emotion,0.7523507492293071
34,57,emotion,0.7766860912231922
34,58,emotion,0.7902549039259261
34,59,emotion,0.7843372001103593
34,60,emotion,0.7912339123448284
34,61,emotion,0.7944384003776962
34,62,emotion,0.7654403395187138
34,0,stress,0.3485579863058335
34,1,stress,0.3043134751190929
34,2,stress,0.27019395596253526
34,3,stress,0.23598137397736957
34,4,stress,0.22252342501305195
34,5,stress,0.20360705657909522
34,6,stress,0.19675239042242762
34,7,stress,0.18066906462497784
34,8,stress,0.1744026185526938
34,9,stress,0.16442525513978334
34,10,stress,0.1612343586940662
34,11,stress,0.14580004478857042
34,12,stress,0.13575012598799718
34,13,stress,0.1349509121254014
34,14,stress,0.11429184182064993
34,15,stress,0.10760682130327173
34,16,stress,0.11389521870091067
34,17,stress,0.10929095081754506
