agent_id,step,metric,value
34,0,emotion,0.6527818053043636
34,1,emotion,0.6768103047705167
34,2,emotion,0.7563184832930131
34,3,emotion,0.754587229522249
34,4,emotion,0.7633129246848072
34,5,emotion,0.7753653989505933
34,6,emotion,0.7760210459076164
34,7,emotion,0.7766128395601573
34,8,emotion,0.7891997809616345
34,9,emotion,0.7746305886932446
34,10,emotion,0.7703566668346843
34,11,emotion,0.7818965832710563
34,12,emotion,0.7989806401613448
34,13,emotion,0.8064496225469531
34,14,emotion,0.8175810814404798
34,15,emotion,0.8200261849120851
34,16,emotion,0.8187461456193648
34,17,emotion,0.841720338859208
34,18,emotion,0.8586757018349449
34,19,emotion,0.8627939223257304
34,20,emotion,0.8722518319095443
34,21,emotion,0.8824288834946419
34,22,emotion,0.8849269944571532
34,23,emotion,0.8958147596015821
34,24,emotion,0.8933613342303838
34,25,emotion,0.8905810221582767
34,26,emotion,0.8930055107973041
34,0,stress,0.3698095600021265
34,1,stress,0.3270177661376762
34,2,stress,0.306631067631847
34,3,stress,0.2902975584743148
34,4,stress,0.266508743226542
34,5,stress,0.24614333977888256
34,6,stress,0.2502806435493911
34,7,stress,0.2568108607755235
34,8,stress,0.24644668466599415
34,9,stress,0.25630919451454137
34,10,stress,0.2504613138845765
34,11,stress,0.23462624716385078
34,12,stress,0.219971890561511
34,13,stress,0.21311481767370316
34,14,stress,0.20525134039909004
34,15,stress,0.19272363036658183
34,16,stress,0.17980585175074545
34,17,stress,0.16949693090862916
34,18,stress,0.16388045202010176
34,19,stress,0.14939262092540426
34,20,stress,0.13517726367236269
34,21,stress,0.1174538536815648
34,22,stress,0.10535312115076301
34,23,stress,0.10661673148944231
34,24,stress,0.10197882054423654
34,25,stress,0.08805057414798059
34,26,stress,0.09656658734727498
34,0,econ_security,0.6010372845007833
34,1,econ_security,0.6126324050906665
34,2,econ_security,0.6161576143220602
34,3,econ_security,0.624050458243481
34,4,econ_security,0.6270056575855214
34,5,econ_security,0.6180010155231723
34,6,econ_security,0.6139918868935332
34,7,econ_security,0.6207749100479935
34,8,econ_security,0.6224550709269798
34,9,econ_security,0.6170814033836683
34,10,econ_security,0.6221501396144123
34,11,econ_security,0.6324915275958958
34,12,econ_security,0.6243258552871439
34,13,econ_security,0.6227957501534184
34,14,econ_security,0.6308575535851435
34,15,econ_security,0.6404833985267899
34,16,econ_security,0.6415957821628504
34,17,econ_security,0.639217500311058
34,18,econ_security,0.6443973150255032
34,19,econ_security,0.653497073374856
34,20,econ_security,0.6538461350977102
34,21,econ_security,0.6580051346187913
34,22,econ_security,0.6705099686337709
34,23,econ_security,0.6721059857238869
34,24,econ_security,0.6793672561443256
34,25,econ_security,0.689550835043726
34,26,econ_security,0.6863688059742514
34,0,city_identity,0.788953764837895
34,1,city_identity,0.7818317566291424
34,2,city_identity,0.7747291400274433
34,3,city_identity,0.7700968588594814
34,4,city_identity,0.7726675744176458
34,5,city_identity,0.760423065826854
34,6,city_identity,0.7525968831180964
34,7,city_identity,0.746884536908974
34,8,city_identity,0.7460910874433538
34,9,city_identity,0.7466519065577818
34,10,city_identity,0.7451226903807803
34,11,city_identity,0.7488667135360728
34,12,city_identity,0.7420199319975179
34,13,city_identity,0.7453842451688532
34,14,city_identity,0.7400058183061524
34,15,city_identity,0.7355637021922058
34,16,city_identity,0.7380457474031858
34,17,city_identity,0.7393187538975511
34,18,city_identity,0.7379068710030572
34,19,city_identity,0.7399430404496278
34,20,city_identity,0.7460208680826377
34,21,city_identity,0.7529147472437616
34,22,city_identity,0.7539424037491377
34,23,city_identity,0.7633340174334935
34,24,city_identity,0.7749540861942513
34,25,city_identity,0.7772309209723207
34,26,city_identity,0.7817529670327683
34,0,policy_sensitivity,0.634033766826252
34,1,policy_sensitivity,0.6177704513259353
34,2,policy_sensitivity,0.6004525335337977
34,3,policy_sensitivity,0.578882389279648
34,4,policy_sensitivity,0.5594947897777434
34,5,policy_sensitivity,0.5449426897243992
34,6,policy_sensitivity,0.5337990520120146
34,7,policy_sensitivity,0.5282085675237504
34,8,policy_sensitivity,0.5173378785972788
34,9,policy_sensitivity,0.5177931682569175
34,10,policy_sensitivity,0.505330954081492
34,11,policy_sensitivity,0.5081831834223726
34,12,policy_sensitivity,0.4999758499045156
34,13,policy_sensitivity,0.48721111582043575
34,14,policy_sensitivity,0.48503447094070823
34,15,policy_sensitivity,0.4745867926223073
34,16,policy_sensitivity,0.4734857293069576
34,17,policy_sensitivity,0.4748189867102761
34,18,policy_sensitivity,0.4678710621302351
34,19,policy_sensitivity,0.4700774594168704
34,20,policy_sensitivity,0.4750776502279639
34,21,policy_sensitivity,0.4648213823228987
34,22,policy_sensitivity,0.4615482423966802
34,23,policy_sensitivity,0.4527959038993656
34,24,policy_sensitivity,0.4519678711430422
34,25,policy_sensitivity,0.45592883354576497
34,26,policy_sensitivity,0.45296295346361765
34,0,platform_dependence,0.07154246555449736
34,1,platform_dependence,0.11682963053339912
34,2,platform_dependence,0.15943979855182364
34,3,platform_dependence,0.19468711424387142
34,4,platform_dependence,0.22741264082355575
34,5,platform_dependence,0.255186206263112
34,6,platform_dependence,0.27794841552745686
34,7,platform_dependence,0.3029600360871383
34,8,platform_dependence,0.3172040853125021
34,9,platform_dependence,0.32737776435209515
34,10,platform_dependence,0.3494873021722693
34,11,platform_dependence,0.36637099830059516
34,12,platform_dependence,0.3813525380562962
34,13,platform_dependence,0.39543874089628916
34,14,platform_dependence,0.39927081374442797
34,15,platform_dependence,0.41158813320119403
34,16,platform_dependence,0.4112500353480078
34,17,platform_dependence,0.409368314235837
34,18,platform_dependence,0.4108371623153434
34,19,platform_dependence,0.41824853531464384
34,20,platform_dependence,0.42239028283412117
34,21,platform_dependence,0.4245507326462684
34,22,platform_dependence,0.42760301281466057
34,23,platform_dependence,0.42126916181305024
34,24,platform_dependence,0.4165972731855318
34,25,platform_dependence,0.4140038645676561
34,26,platform_dependence,0.41392269897678
34,0,risk_preference,0.10526033120364034
34,1,risk_preference,0.15785389657961255
34,2,risk_preference,0.20358431996659496
34,3,risk_preference,0.2429102111304835
34,4,risk_preference,0.28508703672776636
34,5,risk_preference,0.31774764577064823
34,6,risk_preference,0.34713111524175916
34,7,risk_preference,0.38093238765763815
34,8,risk_preference,0.4094447923315016
34,9,risk_preference,0.42555973166633826
34,10,risk_preference,0.44833445473450084
34,11,risk_preference,0.4715314135867462
34,12,risk_preference,0.4940657042189836
34,13,risk_preference,0.5076636183836447
34,14,risk_preference,0.5246616921111585
34,15,risk_preference,0.5365866824593484
34,16,risk_preference,0.5498532800287436
34,17,risk_preference,0.5551131727005499
34,18,risk_preference,0.5555478320769159
34,19,risk_preference,0.5600654688276625
34,20,risk_preference,0.5729951734476743
34,21,risk_preference,0.572680725898889
34,22,risk_preference,0.5820142661164276
34,23,risk_preference,0.592673216463441
34,24,risk_preference,0.5928169172976149
34,25,risk_preference,0.5926657221460379
34,26,risk_preference,0.592707466678066
34,0,voice_propensity,0.29448280279004313
34,1,voice_propensity,0.3375512164750714
34,2,voice_propensity,0.37164656023738174
34,3,voice_propensity,0.4079642331600337
34,4,voice_propensity,0.43994200687316914
34,5,voice_propensity,0.4606955864919086
34,6,voice_propensity,0.4751584058301217
34,7,voice_propensity,0.4941054632244776
34,8,voice_propensity,0.5052847588179242
34,9,voice_propensity,0.5115989691572811
34,10,voice_propensity,0.517529839865843
34,11,voice_propensity,0.5206073939725079
34,12,voice_propensity,0.5278756469453842
34,13,voice_propensity,0.5414698103229006
34,14,voice_propensity,0.5468997296424061
34,15,voice_propensity,0.5592034984754956
34,16,voice_propensity,0.5647939177684713
34,17,voice_propensity,0.5771377531324814
34,18,voice_propensity,0.5795606616510485
34,19,voice_propensity,0.577792329539675
34,20,voice_propensity,0.5778793387679656
34,21,voice_propensity,0.5825806599920303
34,22,voice_propensity,0.5911076179507608
34,23,voice_propensity,0.5930092358664053
34,24,voice_propensity,0.5931220722588612
34,25,voice_propensity,0.6004929084163358
34,26,voice_propensity,0.6125392319493775
34,0,mobility_intent,0.057131525015336825
34,1,mobility_intent,0.0871263370957391
34,2,mobility_intent,0.11664227830606783
34,3,mobility_intent,0.14120266899259018
34,4,mobility_intent,0.16192851036243008
34,5,mobility_intent,0.17247096075511026
34,6,mobility_intent,0.1874317784621412
34,7,mobility_intent,0.19374482066889534
34,8,mobility_intent,0.19736676435854755
34,9,mobility_intent,0.2047485176580913
34,10,mobility_intent,0.20263549729299163
34,11,mobility_intent,0.21144325077789447
34,12,mobility_intent,0.2159625169359645
34,13,mobility_intent,0.21957095038313773
34,14,mobility_intent,0.2140879623106994
34,15,mobility_intent,0.21251228817215478
34,16,mobility_intent,0.21652006962725417
34,17,mobility_intent,0.2048944398739576
34,18,mobility_intent,0.20419556305968678
34,19,mobility_intent,0.19232170964985615
34,20,mobility_intent,0.18609422266999281
34,21,mobility_intent,0.18276293840336047
34,22,mobility_intent,0.1750969528984466
34,23,mobility_intent,0.1723592665469582
34,24,mobility_intent,0.16384315200476193
34,25,mobility_intent,0.15348628671251147
34,26,mobility_intent,0.14327430838937152
34,0,fatigue_debt,0.20347311901623769
34,1,fatigue_debt,0.20670708781227698
34,2,fatigue_debt,0.21137754318402768
34,3,fatigue_debt,0.21056228153187262
34,4,fatigue_debt,0.21210923740930224
34,5,fatigue_debt,0.21228447635572384
34,6,fatigue_debt,0.21090642488346498
34,7,fatigue_debt,0.21511980832310013
