agent_id,step,metric,value
34,0,emotion,0.6160491612726647
34,1,emotion,0.6519680516885901
34,2,emotion,0.6926303032688973
34,3,emotion,0.7264687566410525
34,4,emotion,0.7123411125909728
34,5,emotion,0.7597464652765648
34,6,emotion,0.7848064128609573
34,7,emotion,0.7875294005688876
34,8,emotion,0.8031600324430614
34,9,emotion,0.8296652954706034
34,10,emotion,0.8376348224058677
34,11,emotion,0.8601702402248322
34,12,emotion,0.8694049773552818
34,13,emotion,0.8066202573563211
34,14,emotion,0.8307740032988662
34,15,emotion,0.8555105605398686
34,16,emotion,0.8735937581782443
34,17,emotion,0.8934842091666144
34,18,emotion,0.9066981673570877
34,19,emotion,0.904441441955934
34,20,emotion,0.904614474441661
34,21,emotion,0.9026759213263755
34,22,emotion,0.8832648170398005
34,23,emotion,0.8780030164252646
34,24,emotion,0.8014300990874716
34,25,emotion,0.8335021390683514
34,26,emotion,0.8580089464536129
34,27,emotion,0.8764785299393661
34,28,emotion,0.8851901299487376
34,29,emotion,0.8694605264482601
34,30,emotion,0.8695798049349663
34,31,emotion,0.884456673413572
34,32,emotion,0.8702318767239126
34,33,emotion,0.8232800400408404
34,34,emotion,0.8321276686016978
34,35,emotion,0.8035215397844189
34,36,emotion,0.8181000298294788
34,37,emotion,0.7885034432218416
34,38,emotion,0.7731569430987566
34,39,emotion,0.7911574038342973
34,40,emotion,0.7995832116779317
34,41,emotion,0.8235659835763801
34,42,emotion,0.799337644915954
34,43,emotion,0.8082190551456332
34,44,emotion,0.8111120312596686
34,45,emotion,0.8328116566248208
34,46,emotion,0.8496757638463945
34,47,emotion,0.8239621327412742
34,48,emotion,0.8302988333884073
34,49,emotion,0.7842620925588191
34,50,emotion,0.7895865435634951
34,51,emotion,0.7561261137871609
34,52,emotion,0.7715343778428051
34,53,emotion,0.7514625176938408
34,54,emotion,0.7570310191344044
34,55,emotion,0.7176898720008682
34,56,emotion,0.7297340953126871
34,57,emotion,0.7553633045478778
34,58,emotion,0.7701985525023384
34,59,emotion,0.7655043480755117
34,60,emotion,0.7735717562115265
34,61,emotion,0.7778883955431847
34,62,emotion,0.7499411844670897
34,0,stress,0.3485579863058335
34,1,stress,0.3043134751190929
34,2,stress,0.27019395596253526
34,3,stress,0.23598137397736957
34,4,stress,0.22252342501305195
34,5,stress,0.20360705657909522
34,6,stress,0.19675239042242762
34,7,stress,0.18066906462497784
34,8,stress,0.1744026185526938
34,9,stress,0.16442525513978334
34,10,stress,0.1612343586940662
34,11,stress,0.14302576795193686
34,12,stress,0.133419733445225
34,13,stress,0.1328857129177224
34,14,stress,0.11255707448619956
34,15,stress,0.10614961674233342
34,16,stress,0.11267116686972249
34,17,stress,0.108262747279347
